Fecha,Exportación,Importación,
Ene 2010,"47,710","23,313",
Feb 2010,"40,524","28,925",
Mar 2010,"51,734","26,070",
Abr 2010,"36,799","27,156",
May 2010,"37,457","26,001",
Jun 2010,"30,109","32,317",
Jul 2010,"26,429","34,723",
Ago 2010,"36,731","36,821",
Sep 2010,"51,270","31,342",
Oct 2010,"113,705","40,216",
Nov 2010,"109,040","35,458",
Dic 2010,"79,651","47,139",
Ene 2011,"60,142","55,273",
Feb 2011,"51,177","48,691",
Mar 2011,"54,423","53,370",
Abr 2011,"44,990","36,029",
May 2011,"47,106","41,966",
Jun 2011,"48,764","30,856",
Jul 2011,"50,316","22,409",
Ago 2011,"73,468","28,679",
Sep 2011,"103,638","36,639",
Oct 2011,"179,515","28,604",
Nov 2011,"131,295","43,213",
Dic 2011,"89,742","55,901",
Ene 2012,"66,024","44,594",
Feb 2012,"64,343","43,305",
Mar 2012,"62,189","49,857",
Abr 2012,"51,773","33,241",
May 2012,"58,118","51,162",
Jun 2012,"54,394","37,610",
Jul 2012,"58,279","25,551",
Ago 2012,"60,586","50,184",
Sep 2012,"74,086","35,923",
Oct 2012,"109,603","57,554",
Nov 2012,"95,298","51,688",
Dic 2012,"82,800","37,411",
Ene 2013,"61,136","57,668",
Feb 2013,"63,124","46,973",
Mar 2013,"53,859","41,198",
Abr 2013,"51,769","32,735",
May 2013,"60,835","47,467",
Jun 2013,"32,172","46,751",
Jul 2013,"39,331","54,244",
Ago 2013,"41,549","54,263",
Sep 2013,"58,713","47,705",
Oct 2013,"123,632","48,932",
Nov 2013,"102,268","56,332",
Dic 2013,"140,565","62,942",
Ene 2014,"74,594","73,044",
Feb 2014,"77,111","51,213",
Mar 2014,"54,649","61,999",
Abr 2014,"56,348","63,117",
May 2014,"61,315","68,287",
Jun 2014,"50,060","53,678",
Jul 2014,"54,845","64,846",
Ago 2014,"47,412","48,371",
Sep 2014,"65,473","57,643",
Oct 2014,"154,330","58,631",
Nov 2014,"110,910","62,454",
Dic 2014,"114,964","75,867",
Ene 2015,"110,306","63,909",
Feb 2015,"76,901","57,859",
Mar 2015,"69,836","50,775",
Abr 2015,"57,216","37,297",
May 2015,"40,039","39,224",
Jun 2015,"34,223","32,739",
Jul 2015,"44,859","42,283",
Ago 2015,"47,568","34,774",
Sep 2015,"67,761","54,262",
Oct 2015,"126,943","50,331",
Nov 2015,"123,437","45,438",
Dic 2015,"97,860","57,812",
Ene 2016,"72,649","37,400",
Feb 2016,"91,706","49,173",
Mar 2016,"60,944","50,133",
Abr 2016,"61,335","36,999",
May 2016,"46,605","42,097",
Jun 2016,"36,665","60,221",
Jul 2016,"41,553","60,400",
Ago 2016,"48,858","58,089",
Sep 2016,"70,851","44,704",
Oct 2016,"128,252","48,229",
Nov 2016,"123,937","64,086",
Dic 2016,"84,979","58,336",
Ene 2017,"84,445","56,919",
Feb 2017,"71,370","57,505",
Mar 2017,"49,706","54,123",
Abr 2017,"46,777","55,852",
May 2017,"44,534","65,654",
Jun 2017,"38,754","52,875",
Jul 2017,"50,108","48,251",
Ago 2017,"61,778","64,826",
Sep 2017,"74,822","66,522",
Oct 2017,"170,070","52,859",
Nov 2017,"170,498","64,014",
Dic 2017,"143,631","66,362",
Ene 2018,"82,213","72,512",
Feb 2018,"69,270","66,046",
Mar 2018,"96,590","51,180",
Abr 2018,"58,382","35,165",
May 2018,"53,415","61,927",
Jun 2018,"62,011","47,330",
Jul 2018,"71,068","56,442",
Ago 2018,"76,004","58,801",
Sep 2018,"90,272","46,672",
Oct 2018,"160,808","61,990",
Nov 2018,"181,750","71,840",
Dic 2018,"127,752","67,104",
Ene 2019,"91,454","70,287",
Feb 2019,"92,736","62,750",
Mar 2019,"62,174","59,084",
Abr 2019,"76,683","54,164",
May 2019,"66,238","46,473",
Jun 2019,"54,457","40,637",
Jul 2019,"71,812","52,522",
Ago 2019,"74,950","43,104",
Sep 2019,"75,625","51,544",
Oct 2019,"136,204","49,252",
Nov 2019,"183,606","53,483",
Dic 2019,"122,088","61,299",
Ene 2020,"85,017","58,022",
Feb 2020,"69,813","52,433",
Mar 2020,"66,308","41,374",
Abr 2020,"39,853","39,654",
May 2020,"43,192","24,988",
Jun 2020,"48,752","24,354",
Jul 2020,"55,740","36,550",
Ago 2020,"62,742","38,608",
Sep 2020,"79,812","46,258",
Oct 2020,"117,091","43,755",
Nov 2020,"123,257","44,429",
Dic 2020,"114,316","69,259",
Ene 2021,"68,562","76,269",
Feb 2021,"78,808","75,421",
Mar 2021,"75,016","64,582",
Abr 2021,"76,149","48,015",
May 2021,"66,564","56,450",
Jun 2021,"63,524","68,154",
Jul 2021,"67,018","60,703",
Ago 2021,"89,083","66,928",
Sep 2021,"90,251","72,681",
Oct 2021,"112,021","58,624",
Nov 2021,"155,681","81,704",
Dic 2021,"116,362","74,636",
Ene 2022,"81,558","82,955",
Feb 2022,"98,420","93,133",
Mar 2022,"83,791","86,846",
Abr 2022,"74,140","61,444",
May 2022,"78,099","69,489",
Jun 2022,"77,510","74,381",
Jul 2022,"72,766","73,099",
Ago 2022,"90,525","76,177",
Sep 2022,"81,739","76,302",
Oct 2022,"115,182","79,100",
Nov 2022,"106,033","79,846",
Dic 2022,"91,159","73,815",
Ene 2023,"82,787","76,742",
Feb 2023,"72,298","70,782",
Mar 2023,"64,356","79,205",
Abr 2023,"57,040","53,876",
May 2023,"72,923","72,007",
Jun 2023,"57,363","64,295",
Jul 2023,"58,026","60,195",
Ago 2023,"55,244","59,498",
Sep 2023,"62,544","63,165",
Oct 2023,"83,649","66,919",
Nov 2023,"89,989","83,254",
Dic 2023,"85,391","70,995",
Ene 2024,"71,090","80,995",
Feb 2024,"70,298","75,105",
Mar 2024,"55,559","59,688",
Abr 2024,"53,006","52,896",
May 2024,"63,255","65,375",
Jun 2024,"53,227","58,018",
Jul 2024,"54,175","74,705",
Ago 2024,"48,951","85,668",
Sep 2024,"53,534","81,244",
Oct 2024,"74,293","86,602",
Nov 2024,"85,703","95,605",
Dic 2024,"93,526","89,477",
Ene 2025,"77,861","97,158",
Feb 2025,"84,321","82,096",
Mar 2025,"69,397","68,884",
Abr 2025,"49,887","54,755",
May 2025,"55,192","62,316",
Jun 2025,"60,395","62,736",
Jul 2025,"72,945","72,683",
Ago 2025,"60,806","74,043",
Sep 2025,"70,628","68,920",
Oct 2025,"102,100","81,090",
Nov 2025,"77,721","72,964",
Dic 2025,"98,683","85,158",