Empresa,Porcentaje,pais
Marindustrias SA de CV,25.10,USA
Marindustrias SA de CV,48.70,Spain
Marindustrias SA de CV,10.40,Mexico
Marindustrias SA de CV,4.60,Costa Rica
Marindustrias SA de CV,2.9,Italia
Marindustrias SA de CV,2,France
Marindustrias SA de CV,1.5,Puerto Rico
Marindustrias SA de CV,0.9,Panama
Marindustrias SA de CV,0.6,Vietnam
Marindustrias SA de CV,0.6,Guatemala
Marindustrias SA de CV,0.6,Taiwan
Marindustrias SA de CV,0.4,Peru
Marindustrias SA de CV,0.4,South Korea
Marindustrias SA de CV,0.3,Cuba
Marindustrias SA de CV,0.3,China
Marindustrias SA de CV,0.1,Venezuela
Marindustrias SA de CV,0.1,Angola
Marindustrias SA de CV,0.1,Belgium
Marindustrias SA de CV,0.1,Canada
Marindustrias SA de CV,0.1,Indonesia
Marindustrias SA de CV,0.1,Libya
Congeladora Daysa SA de CV,100,USA
Pinsa Congelados SA de CV,82.9,Spain
Pinsa Congelados SA de CV,9.6,USA
Pinsa Congelados SA de CV,5.8,Canada
Pinsa Congelados SA de CV,0.9,Peru
Pinsa Congelados SA de CV,0.3,New Zealand
Pinsa Congelados SA de CV,0.2,Chile
Pinsa Congelados SA de CV,0.2,Mexico
Pinsa Congelados SA de CV,0.1,Thailandia
Pinsa Congelados SA de CV,0.1,Ecuador
Pinsa Congelados SA de CV,0.1,Panama
Ahome Acuicola SA de CV,97.00,USA
Grupomar SA de CV,75.6,China
Grupomar SA de CV,8.9,Hong Kong
Grupomar SA de CV,7.8,USA
Grupomar SA de CV,2.2,Costa Rica
Grupomar SA de CV,1.1,Spain
Grupomar SA de CV,1.1,Canada
Grupomar SA de CV,1.1,Singapore
Grupomar SA de CV,1.1,Turkey
Grupomar SA de CV,1.1,UK
Acuacultura Integral de Baja California SA de CV,96.3,USA
Acuacultura Integral de Baja California SA de CV,1.6,Guatemala
Acuacultura Integral de Baja California SA de CV,1.2,China
Acuacultura Integral de Baja California SA de CV,0.5,Panama
Acuacultura Integral de Baja California SA de CV,0.5,Honduras
Pacifico Aquaculture SA de CV,58.1,Canada
Pacifico Aquaculture SA de CV,13.4,USA
Pacifico Aquaculture SA de CV,5.5,Costa Rica
Pacifico Aquaculture SA de CV,5.4,China
Pacifico Aquaculture SA de CV,2.1,Chile
Pacifico Aquaculture SA de CV,1.8,Denmark
Pacifico Aquaculture SA de CV,1.6,Japan
Pacifico Aquaculture SA de CV,1.2,Mexico
Pacifico Aquaculture SA de CV,1.1,Norway
Pacifico Aquaculture SA de CV,1.1,UK
Pacifico Aquaculture SA de CV,1.1,Germany
Pacifico Aquaculture SA de CV,0.9,South Korea
Pacifico Aquaculture SA de CV,0.8,Italy
Pacifico Aquaculture SA de CV,0.8,Switzerland
Pacifico Aquaculture SA de CV,0.6,Hungary
Pacifico Aquaculture SA de CV,0.6,Taiwan
Pacifico Aquaculture SA de CV,0.4,Netherlands
Pacifico Aquaculture SA de CV,0.4,Spain
Pacifico Aquaculture SA de CV,0.4,India
Pacifico Aquaculture SA de CV,0.3,Peru
Pacifico Aquaculture SA de CV,0.3,Sweden
Pacifico Aquaculture SA de CV,0.3,Greece
Pacifico Aquaculture SA de CV,0.2,Singapore
Pacifico Aquaculture SA de CV,0.2,France
Pacifico Aquaculture SA de CV,0.2,Belgium
Pacifico Aquaculture SA de CV,0.2,Iceland
Pacifico Aquaculture SA de CV,0.1,Vietnam
Pacifico Aquaculture SA de CV,0.1,Ireland
Pacifico Aquaculture SA de CV,0.1,Malayia
Pacifico Aquaculture SA de CV,0.1,Thailand
Pacifico Aquaculture SA de CV,0.1,Australia
Pacifico Aquaculture SA de CV,0.1,Slovenia
Pacifico Aquaculture SA de CV,0.1,Brazil
Pacifico Aquaculture SA de CV,0.1,Malta
Pacifico Aquaculture SA de CV,0.1,Poland
Pacifico Aquaculture SA de CV,0.1,New Zealand
Pacifico Aquaculture SA de CV,0.1,Puerto Rico
Pacifico Aquaculture SA de CV,0.1,Austria
Pacifico Aquaculture SA de CV,0.1,Czech Republic
Pesquera Miramar SA de CV,81.1,USA
Pesquera Miramar SA de CV,15.1,Italy
Pesquera Miramar SA de CV,1.4,Spain
Pesquera Miramar SA de CV,1,Ghana
Pesquera Miramar SA de CV,0.7,UK
Pesquera Miramar SA de CV,0.3,Cyprus
Pesquera Miramar SA de CV,0.3,Netherlands
Marganzo Seafood SA de CV,0.97,USA